Country,Population,Education,Inequality,GDP-Health,HDI-Index,HDI-Rank,Total-Cases,Total-Deaths,Death-Ratio,Infection-Ratio
Afghanistan,37172386,0.413,0.432,11.8,0.496,170,14525,249,0.017,0.0004
Albania,2866376,0.758,0.727,6.2,0.791,69,1122,33,0.029,0.0004
Algeria,42228429,0.675,0.743,6.4,0.759,82,9267,646,0.070,0.0002
Andorra,77006,0.708,0.935,10.3,0.857,36,764,51,0.067,0.0099
Angola,30809762,0.498,0.607,2.8,0.574,149,84,4,0.048,0.0000
Antigua and Barbuda,96286,0.655,0.816,4.5,0.776,74,25,3,0.120,0.0003
Argentina,44494502,0.842,0.781,9.1,0.83,48,16201,528,0.033,0.0004
Armenia,2951776,0.759,0.684,10.4,0.76,81,8927,127,0.014,0.0030
Australia,24992369,0.923,0.92,9.2,0.938,6,7185,103,0.014,0.0003
Austria,8847037,0.871,0.927,10.4,0.914,20,16638,668,0.040,0.0019
Azerbaijan,9942334,0.694,0.759,6.7,0.754,87,5246,61,0.012,0.0005
Bahamas,385640,0.741,0.853,5.8,0.805,60,102,11,0.108,0.0003
Bahrain,1569439,0.738,0.907,4.7,0.838,45,10793,17,0.002,0.0069
Bangladesh,161356039,0.513,0.559,2.3,0.614,135,44608,610,0.014,0.0003
Barbados,286641,0.773,0.766,6.8,0.813,56,92,7,0.076,0.0003
Belarus,9485386,0.837,0.776,5.9,0.817,50,41658,229,0.005,0.0044
Belgium,11422068,0.893,0.919,10.3,0.919,17,58186,9453,0.162,0.0051
Belize,383071,0.691,0.645,5.6,0.72,103,18,2,0.111,0.0000
Benin,11485048,0.476,0.462,3.7,0.52,163,650,3,0.005,0.0001
Bhutan,754394,0.441,0.673,3.2,0.617,134,43,0,0.000,0.0001
Bolivia (Plurinational State of),11353142,0.69,0.638,6.4,0.703,114,9592,310,0.032,0.0008
Bosnia and Herzegovina,3323929,0.706,0.732,8.9,0.769,75,2494,153,0.061,0.0008
Botswana,2254126,0.664,0.766,6.1,0.728,94,35,1,0.029,0.0000
Brazil,209469333,0.689,0.747,9.5,0.761,79,498440,28834,0.058,0.0024
Bulgaria,7024216,0.805,0.798,8.1,0.816,52,2513,140,0.056,0.0004
Burkina Faso,19751535,0.3,0.428,6.9,0.434,182,853,53,0.062,0.0000
Burundi,11175378,0.418,0.285,7.5,0.423,185,42,1,0.024,0.0000
Cabo Verde,543767,0.538,0.631,5.2,0.651,126,421,4,0.010,0.0008
Cambodia,16249798,0.476,0.541,5.9,0.581,146,125,0,0.000,0.0000
Cameroon,25216237,0.564,0.528,4.7,0.563,150,5904,191,0.032,0.0002
Canada,37058856,0.891,0.918,10.6,0.922,13,90179,7073,0.078,0.0024
Central African Republic,4666377,0.353,0.31,5.8,0.381,188,962,1,0.001,0.0002
Chad,15477751,0.288,0.429,4.5,0.401,187,759,65,0.086,0.0000
Chile,18729160,0.807,0.815,9,0.847,42,94858,997,0.011,0.0051
China,1392730000,0.649,0.768,5.2,0.758,85,84101,4638,0.055,0.0001
Colombia,49648685,0.683,0.734,7.2,0.761,79,28236,890,0.032,0.0006
Comoros,832322,0.476,0.482,7.4,0.538,156,106,2,0.019,0.0001
Congo,5244363,0.539,0.613,2.9,0.609,138,587,19,0.032,0.0001
Congo (Democratic Republic of the),84068091,0.495,0.314,4,0.459,179,2966,69,0.023,0.0000
Costa Rica,4999441,0.716,0.755,7.3,0.794,68,1047,10,0.010,0.0002
Croatia,4089400,0.796,0.822,6.8,0.837,46,2246,103,0.046,0.0005
Cuba,11338138,0.791,0.658,11.7,0.778,72,2025,83,0.041,0.0002
Cyprus,1189265,0.811,0.876,6.7,0.873,31,943,17,0.018,0.0008
Czechia,10625695,0.892,0.869,7.2,0.891,26,9230,319,0.035,0.0009
Côte d'Ivoire,25069229,0.441,0.541,4.5,0.516,165,2799,33,0.012,0.0001
Denmark,5797446,0.92,0.935,10.1,0.93,11,11633,571,0.049,0.0020
Djibouti,958920,0.313,0.541,3.3,0.495,171,3194,22,0.007,0.0033
Dominica,71625,0.62,0.684,5.9,0.724,98,16,0,0.000,0.0002
Dominican Republic,10627165,0.657,0.758,6.1,0.745,89,16908,498,0.029,0.0016
Ecuador,17084357,0.714,0.698,8.3,0.758,85,46553,3334,0.072,0.0027
Egypt,98423595,0.608,0.706,5.3,0.7,116,23449,913,0.039,0.0002
