Continent,Country,Population,Date,Cases,Deaths
Asia,Afghanistan,37172386,31/05/2020,866,3
Asia,Afghanistan,37172386,30/05/2020,623,11
Asia,Afghanistan,37172386,29/05/2020,580,8
Asia,Afghanistan,37172386,28/05/2020,625,7
Asia,Afghanistan,37172386,27/05/2020,658,1
Asia,Afghanistan,37172386,26/05/2020,591,1
Asia,Afghanistan,37172386,25/05/2020,584,2
Asia,Afghanistan,37172386,24/05/2020,782,11
Asia,Afghanistan,37172386,23/05/2020,540,12
Asia,Afghanistan,37172386,22/05/2020,531,6
Asia,Afghanistan,37172386,21/05/2020,492,9
Asia,Afghanistan,37172386,20/05/2020,581,5
Asia,Afghanistan,37172386,19/05/2020,408,4
Asia,Afghanistan,37172386,18/05/2020,262,1
Asia,Afghanistan,37172386,17/05/2020,0,0
Asia,Afghanistan,37172386,16/05/2020,1063,32
Asia,Afghanistan,37172386,15/05/2020,113,6
Asia,Afghanistan,37172386,14/05/2020,259,3
Asia,Afghanistan,37172386,13/05/2020,280,5
Asia,Afghanistan,37172386,12/05/2020,285,2
Asia,Afghanistan,37172386,11/05/2020,369,5
Asia,Afghanistan,37172386,10/05/2020,255,6
Asia,Afghanistan,37172386,09/05/2020,215,3
Asia,Afghanistan,37172386,08/05/2020,171,2
Asia,Afghanistan,37172386,07/05/2020,168,9
Asia,Afghanistan,37172386,06/05/2020,330,5
Asia,Afghanistan,37172386,05/05/2020,190,5
Asia,Afghanistan,37172386,04/05/2020,235,13
Asia,Afghanistan,37172386,03/05/2020,134,4
Asia,Afghanistan,37172386,02/05/2020,164,4
Asia,Afghanistan,37172386,01/05/2020,222,4
Asia,Afghanistan,37172386,30/04/2020,122,0
Asia,Afghanistan,37172386,29/04/2020,124,3
Asia,Afghanistan,37172386,28/04/2020,172,0
Asia,Afghanistan,37172386,27/04/2020,68,10
Asia,Afghanistan,37172386,26/04/2020,112,4
Asia,Afghanistan,37172386,25/04/2020,70,1
Asia,Afghanistan,37172386,24/04/2020,105,2
Asia,Afghanistan,37172386,23/04/2020,84,4
Asia,Afghanistan,37172386,22/04/2020,61,1
Asia,Afghanistan,37172386,21/04/2020,35,2
Asia,Afghanistan,37172386,20/04/2020,88,3
Asia,Afghanistan,37172386,19/04/2020,63,0
Asia,Afghanistan,37172386,18/04/2020,51,1
Asia,Afghanistan,37172386,17/04/2020,10,4
Asia,Afghanistan,37172386,16/04/2020,70,2
Asia,Afghanistan,37172386,15/04/2020,49,2
Asia,Afghanistan,37172386,14/04/2020,58,3
Asia,Afghanistan,37172386,13/04/2020,52,0
Asia,Afghanistan,37172386,12/04/2020,34,3
Asia,Afghanistan,37172386,11/04/2020,37,0
Asia,Afghanistan,37172386,10/04/2020,61,1
Asia,Afghanistan,37172386,09/04/2020,56,3
Asia,Afghanistan,37172386,08/04/2020,30,4
Asia,Afghanistan,37172386,07/04/2020,38,0
Asia,Afghanistan,37172386,06/04/2020,29,2
Asia,Afghanistan,37172386,05/04/2020,35,1
Asia,Afghanistan,37172386,04/04/2020,0,0
Asia,Afghanistan,37172386,03/04/2020,43,0
Asia,Afghanistan,37172386,02/04/2020,26,0
Asia,Afghanistan,37172386,01/04/2020,25,0
Asia,Afghanistan,37172386,31/03/2020,27,0
Asia,Afghanistan,37172386,30/03/2020,8,1
Asia,Afghanistan,37172386,29/03/2020,15,1
Asia,Afghanistan,37172386,28/03/2020,16,1
Asia,Afghanistan,37172386,27/03/2020,0,0
Asia,Afghanistan,37172386,26/03/2020,33,0
Asia,Afghanistan,37172386,25/03/2020,2,0
Asia,Afghanistan,37172386,24/03/2020,6,1
Asia,Afghanistan,37172386,23/03/2020,10,0
Asia,Afghanistan,37172386,22/03/2020,0,0
Asia,Afghanistan,37172386,21/03/2020,2,0
Asia,Afghanistan,37172386,20/03/2020,0,0
Asia,Afghanistan,37172386,19/03/2020,0,0
Asia,Afghanistan,37172386,18/03/2020,1,0
